model,year,price,transmission,mileage,fuelType,tax,mpg,engineSize,car_type
 GLA Class,2020,29991,Semi-Auto,2011,Petrol,145,35.8,1.6,merc
 Focus,2013,9891,Manual,64470,Petrol,235,39.2,2.0,ford
 3 Series,2019,30690,Automatic,4404,Diesel,145,50.4,2.0,bmw
 Fiesta,2018,10298,Manual,10280,Petrol,150,55.4,1.1,ford
 GT86,2016,15000,Manual,28321,Petrol,265,36.2,2.0,toyota
 Fiesta,2017,7290,Manual,44325,Petrol,125,54.3,1.2,ford
 Fiesta,2018,10998,Manual,10970,Petrol,145,58.9,1.0,ford
 I10,2017,8490,Semi-Auto,24890,Petrol,145,47.9,1.2,hyundi
 X3,2015,16998,Semi-Auto,73312,Diesel,145,54.3,2.0,bmw
 2 Series,2019,19750,Semi-Auto,9014,Diesel,145,49.6,2.0,bmw
 I800,2018,15000,Manual,34168,Diesel,145,37.7,2.5,hyundi
 Focus,2018,14749,Automatic,15452,Diesel,145,67.3,1.5,ford
 1 Series,2013,10999,Manual,32097,Petrol,145,50.4,1.6,bmw
 3 Series,2019,27275,Manual,3377,Diesel,145,54.3,2.0,bmw
 Yeti Outdoor,2017,14990,Semi-Auto,12215,Petrol,150,51.4,1.2,skoda
 Rapid,2014,6016,Manual,47989,Petrol,125,52.3,1.2,skoda
 Tucson,2017,14100,Semi-Auto,27299,Diesel,145,57.6,1.7,hyundi
 Grand Tourneo Connect,2018,15990,Automatic,9486,Diesel,145,56.6,1.5,ford
 I10,2016,7499,Manual,19000,Petrol,20,60.1,1.0,hyundi
 Kuga,2016,12490,Semi-Auto,39621,Diesel,145,52.3,2.0,ford
 Focus,2017,8295,Manual,60030,Diesel,145,74.3,1.5,ford
 A4,2020,38534,Semi-Auto,7521,Diesel,145,49.6,2.0,audi
 A1,2019,20992,Semi-Auto,10,Petrol,145,44.8,1.5,audi
 Aygo,2018,7795,Manual,21477,Petrol,150,68.9,1.0,toyota
 Focus,2008,2375,Manual,89000,Petrol,205,42.2,1.6,ford
 X3,2017,24991,Semi-Auto,27125,Diesel,150,54.3,2.0,bmw
 E Class,2017,17989,Automatic,58463,Diesel,20,67.3,2.0,merc
 A4,2016,14300,Manual,45485,Diesel,20,70.6,2.0,audi
 Q3,2017,19990,Semi-Auto,26821,Petrol,145,47.9,1.4,audi
 Fiesta,2015,10250,Manual,20028,Petrol,145,47.9,1.6,ford
 Focus,2017,11595,Manual,25392,Petrol,145,60.1,1.0,ford
 CL Class,2020,29628,Semi-Auto,3000,Diesel,145,55.4,2.0,merc
 Aygo,2018,6790,Manual,11015,Petrol,145,69.0,1.0,toyota
 EcoSport,2017,11000,Automatic,11809,Petrol,160,44.8,1.5,ford
 Kona,2019,21689,Automatic,5155,Hybrid,140,52.3,1.6,hyundi
 A4,2016,15489,Semi-Auto,54697,Diesel,30,65.7,2.0,audi
 EcoSport,2014,6990,Manual,48462,Petrol,30,61.4,1.5,ford
 A Class,2015,14092,Semi-Auto,47275,Diesel,20,64.2,2.1,merc
 5 Series,2016,18656,Semi-Auto,25695,Diesel,160,51.4,3.0,bmw
 Fiesta,2016,7495,Manual,39012,Petrol,0,65.7,1.0,ford
 Fiesta,2018,11350,Manual,12981,Petrol,145,65.7,1.0,ford
 EcoSport,2015,7467,Manual,29651,Petrol,125,52.3,1.0,ford
 3 Series,2019,29990,Manual,16,Diesel,145,54.3,2.0,bmw
 GLA Class,2016,20563,Automatic,34190,Petrol,200,43.5,2.0,merc
 Fiesta,2019,14000,Manual,11213,Petrol,145,58.9,1.0,ford
 C Class,2016,15999,Semi-Auto,9000,Diesel,20,65.7,2.1,merc
 A Class,2016,9895,Manual,105430,Diesel,20,72.4,1.5,merc
 I20,2020,12990,Manual,2500,Petrol,145,46.3,1.2,hyundi
 Fabia,2019,10295,Manual,7773,Petrol,145,57.7,1.0,skoda
 Focus,2015,7998,Manual,61904,Diesel,0,74.3,1.5,ford
 GLS Class,2017,37999,Semi-Auto,44555,Diesel,300,37.2,3.0,merc
 2 Series,2019,23150,Semi-Auto,5035,Diesel,145,49.6,2.0,bmw
 Superb,2019,24685,Automatic,4500,Petrol,145,38.2,2.0,skoda
 I40,2014,7700,Automatic,66031,Diesel,200,47.1,1.7,hyundi
 C Class,2015,15890,Semi-Auto,54000,Diesel,30,64.2,2.1,merc
 1 Series,2019,22699,Automatic,14754,Petrol,145,39.8,3.0,bmw
 Yaris,2019,11895,Manual,8065,Petrol,145,47.9,1.5,toyota
 Fiesta,2018,9997,Manual,7469,Petrol,145,64.2,1.1,ford
 Ka+,2018,8995,Manual,6314,Petrol,145,47.9,1.2,ford
 A4,2017,19995,Semi-Auto,30300,Diesel,30,62.8,2.0,audi
 3 Series,2016,14500,Manual,27399,Petrol,145,47.9,2.0,bmw
 Fiesta,2019,15495,Manual,2100,Petrol,145,62.8,1.0,ford
 B-MAX,2017,11499,Manual,8769,Petrol,30,57.7,1.0,ford
 Fiesta,2016,9895,Semi-Auto,11000,Petrol,0,57.7,1.0,ford
 X7,2019,74480,Automatic,7278,Diesel,145,31.4,3.0,bmw
 Yaris,2017,9800,Manual,22305,Petrol,30,55.0,1.3,toyota
 Kuga,2012,8995,Manual,48049,Diesel,200,47.1,2.0,ford
 A Class,2019,22299,Automatic,4554,Diesel,145,62.8,1.5,merc
 Galaxy,2018,18741,Automatic,8878,Diesel,145,52.3,2.0,ford
 E Class,2018,27999,Semi-Auto,5170,Diesel,145,58.9,2.0,merc
 3 Series,2015,14990,Automatic,66000,Diesel,145,53.3,3.0,bmw
 A1,2015,9990,Manual,38000,Diesel,0,80.7,1.6,audi
 Superb,2017,20395,Automatic,17300,Petrol,200,39.8,2.0,skoda
 E Class,2020,38399,Semi-Auto,1000,Diesel,145,70.6,2.0,merc
 Aygo,2017,9498,Semi-Auto,18303,Petrol,0,67.3,1.0,toyota
 A1,2020,18990,Manual,4000,Petrol,150,49.6,1.0,audi
 Q5,2013,15995,Automatic,50000,Diesel,205,47.1,2.0,audi
 Fiesta,2017,9600,Manual,22935,Petrol,145,62.8,1.0,ford
 Q5,2018,28450,Semi-Auto,21000,Diesel,145,56.5,2.0,audi
 Fiesta,2019,16299,Manual,2452,Petrol,145,40.3,1.5,ford
 A5,2019,25419,Automatic,14713,Petrol,145,39.8,2.0,audi
 Focus,2018,20900,Manual,12307,Petrol,145,41.5,2.0,ford
 Auris,2016,10290,Manual,19541,Petrol,30,58.9,1.2,toyota
 Superb,2016,11398,Manual,58222,Diesel,0,76.4,1.6,skoda
 E Class,2017,17800,Automatic,40566,Diesel,150,72.4,2.0,merc
 1 Series,2019,19490,Manual,7990,Diesel,145,65.7,2.0,bmw
 Fabia,2019,12455,Manual,3602,Petrol,145,50.4,1.0,skoda
 4 Series,2019,25320,Automatic,5035,Diesel,145,65.7,2.0,bmw
 Grand C-MAX,2019,14590,Manual,5417,Diesel,145,56.5,1.5,ford
 Q3,2016,21995,Semi-Auto,17114,Petrol,200,40.4,2.0,audi
 Octavia,2019,22495,Automatic,12,Diesel,145,54.3,2.0,skoda
 Auris,2017,18490,Automatic,15135,Hybrid,0,70.6,1.8,toyota
 Auris,2016,16495,Automatic,18085,Hybrid,0,70.6,1.8,toyota
 GLC Class,2017,25995,Semi-Auto,38941,Diesel,145,56.5,2.1,merc
 Fiesta,2016,7298,Manual,33349,Petrol,125,54.3,1.2,ford
 GLE Class,2018,29500,Automatic,20137,Diesel,145,47.9,2.1,merc
 2 Series,2019,20450,Semi-Auto,3422,Diesel,145,65.7,2.0,bmw
 X1,2016,14998,Semi-Auto,78843,Diesel,150,55.4,2.0,bmw
 Avensis,2017,12698,Manual,21431,Petrol,145,47.1,1.8,toyota
 E Class,2017,22470,Automatic,19954,Diesel,145,61.4,2.0,merc
 A Class,2016,14995,Automatic,31800,Petrol,125,53.3,1.6,merc
 6 Series,2013,16199,Automatic,62068,Diesel,160,49.6,3.0,bmw
 A4,2017,22199,Automatic,13063,Petrol,145,52.3,2.0,audi
 CL Class,2015,19998,Semi-Auto,29682,Diesel,20,62.8,2.1,merc
 I20,2010,3799,Manual,57476,Diesel,30,64.2,1.4,hyundi
 Fiesta,2016,8298,Manual,26039,Petrol,0,65.7,1.0,ford
 C Class,2019,26999,Semi-Auto,9568,Diesel,145,61.4,2.0,merc
 A3,2018,20688,Semi-Auto,9135,Petrol,145,56.5,1.5,audi
 Fiesta,2018,13491,Manual,7552,Petrol,145,65.7,1.0,ford
 Mondeo,2015,8990,Automatic,82000,Diesel,125,58.9,2.0,ford
 A Class,2019,24995,Automatic,7750,Diesel,145,56.5,2.0,merc
 C Class,2019,29900,Automatic,1000,Diesel,145,64.2,2.0,merc
 I20,2010,3499,Manual,60179,Petrol,150,50.4,1.4,hyundi
 I10,2016,4388,Manual,36182,Petrol,20,60.1,1.0,hyundi
 Kuga,2016,14995,Manual,40136,Diesel,145,54.3,2.0,ford
 RAV4,2017,14897,Manual,37100,Diesel,150,60.1,2.0,toyota
 Focus,2017,16051,Manual,11035,Petrol,145,41.5,2.0,ford
 Q5,2019,31250,Semi-Auto,14120,Diesel,145,38.2,2.0,audi
 1 Series,2013,6998,Manual,73603,Diesel,30,62.8,2.0,bmw
 GLA Class,2019,26599,Semi-Auto,4155,Diesel,150,56.5,2.1,merc
 Santa Fe,2020,36990,Semi-Auto,985,Diesel,150,39.2,2.2,hyundi
 C Class,2019,44980,Semi-Auto,4887,Petrol,145,29.7,3.0,merc
 Octavia,2017,14040,Semi-Auto,21327,Diesel,145,61.4,2.0,skoda
 Ka+,2019,10460,Manual,1161,Petrol,145,47.9,1.2,ford
 A1,2016,12750,Semi-Auto,11800,Petrol,20,64.2,1.0,audi
 Ka+,2018,8000,Manual,9193,Petrol,145,57.7,1.2,ford
 Q2,2017,17940,Semi-Auto,30522,Petrol,150,54.3,1.4,audi
 Superb,2020,29991,Semi-Auto,3565,Hybrid,135,188.3,1.4,skoda
 1 Series,2019,33150,Semi-Auto,4902,Diesel,145,51.4,2.0,bmw
 C Class,2019,30995,Automatic,5999,Petrol,145,42.8,2.0,merc
 I30,2018,9699,Manual,23064,Petrol,145,56.5,1.0,hyundi
 Fiesta,2017,7260,Manual,24986,Petrol,125,54.3,1.2,ford
 Kuga,2019,18695,Manual,6308,Diesel,150,38.2,2.0,ford
 A Class,2019,28490,Automatic,3826,Petrol,145,53.3,1.3,merc
 B-MAX,2014,5995,Manual,61000,Petrol,30,55.4,1.0,ford
 Yaris,2018,9595,Manual,33894,Petrol,145,58.9,1.5,toyota
 Fiesta,2018,12000,Manual,7760,Petrol,145,65.7,1.0,ford
 EcoSport,2019,15495,Automatic,14447,Petrol,145,45.6,1.0,ford
 I800,2018,14000,Manual,37620,Diesel,150,37.7,2.5,hyundi
 TT,2019,29975,Automatic,6000,Petrol,145,38.7,2.0,audi
 X1,2020,28999,Semi-Auto,243,Diesel,145,36.7,2.0,bmw
 A Class,2013,9995,Semi-Auto,47000,Diesel,20,68.9,1.8,merc
 C Class,2015,16699,Automatic,40786,Diesel,30,64.2,1.6,merc
 GLC Class,2017,25649,Semi-Auto,38070,Diesel,125,56.5,2.1,merc
 C Class,2017,18999,Semi-Auto,21459,Diesel,145,64.2,2.1,merc
 Rapid,2015,6280,Manual,71558,Diesel,0,67.3,1.6,skoda
 Fiesta,2018,11600,Manual,9021,Petrol,145,56.5,1.0,ford
 I20,2019,9295,Manual,15216,Petrol,145,46.3,1.2,hyundi
 I800,2018,14500,Automatic,35845,Diesel,145,33.6,2.5,hyundi
 A Class,2019,20199,Semi-Auto,7929,Diesel,145,68.9,1.5,merc
 Q3,2019,27900,Manual,3061,Petrol,145,39.8,1.5,audi
 Focus,2013,6790,Manual,37002,Petrol,20,58.9,1.0,ford
 Aygo,2011,3491,Manual,87125,Petrol,20,61.4,1.0,toyota
 Octavia,2013,9395,Manual,44359,Diesel,20,68.9,2.0,skoda
 Ioniq,2018,14500,Automatic,28526,Hybrid,135,78.5,1.6,hyundi
 5 Series,2016,15000,Automatic,49313,Diesel,125,60.1,2.0,bmw
 EcoSport,2016,9990,Manual,20891,Petrol,125,53.3,1.0,ford
 Puma,2020,21769,Manual,169,Petrol,145,50.4,1.0,ford
 Focus,2015,7660,Manual,45878,Diesel,0,74.3,1.5,ford
 Fabia,2017,9620,Semi-Auto,24100,Petrol,20,60.1,1.2,skoda
 Mondeo,2017,15250,Manual,19652,Diesel,30,62.8,2.0,ford
 Aygo,2018,9650,Automatic,5118,Petrol,145,67.3,1.0,toyota
 Aygo,2019,8480,Manual,5976,Petrol,145,56.5,1.0,toyota
 6 Series,2012,12970,Automatic,50319,Diesel,160,51.4,3.0,bmw
 Kuga,2017,16900,Manual,26480,Diesel,145,54.3,2.0,ford
 Fiesta,2017,9500,Manual,13667,Petrol,150,54.3,1.2,ford
 Focus,2019,19500,Manual,1059,Petrol,145,49.6,1.0,ford
 Tucson,2019,21490,Manual,623,Petrol,145,34.9,1.6,hyundi
 Q7,2017,47490,Semi-Auto,21375,Diesel,145,39.2,4.0,audi
 A4,2014,10000,Manual,80120,Diesel,30,62.8,2.0,audi
 1 Series,2017,16990,Automatic,23000,Diesel,30,65.7,2.0,bmw
 Citigo,2017,6595,Manual,25575,Petrol,0,67.3,1.0,skoda
 Fiesta,2017,11180,Semi-Auto,7456,Petrol,145,54.3,1.0,ford
 A1,2016,12505,Manual,19038,Petrol,0,67.3,1.0,audi
 Fabia,2017,8450,Manual,23846,Petrol,145,64.2,1.0,skoda
 GLC Class,2016,23245,Semi-Auto,21210,Diesel,125,56.5,2.1,merc
 Q3,2016,17499,Automatic,36615,Diesel,145,51.4,2.0,audi
 EcoSport,2017,8991,Manual,19546,Petrol,125,52.3,1.0,ford
 Puma,2019,21000,Manual,150,Petrol,150,50.4,1.0,ford
 X-CLASS,2019,28945,Automatic,500,Diesel,260,35.8,2.3,merc
 1 Series,2016,13800,Automatic,11510,Diesel,20,70.6,2.0,bmw
 GLE Class,2016,27260,Semi-Auto,33177,Diesel,200,47.9,2.1,merc
 5 Series,2013,6990,Automatic,108000,Diesel,125,57.6,2.0,bmw
 Focus,2017,10000,Manual,16330,Petrol,145,60.1,1.0,ford
 1 Series,2019,23450,Semi-Auto,5500,Petrol,145,42.8,1.5,bmw
 C-HR,2018,17498,Automatic,28451,Hybrid,135,74.3,1.8,toyota
 Z4,2010,9440,Manual,68090,Petrol,305,33.2,2.5,bmw
 Aygo,2019,8990,Manual,1500,Petrol,145,56.5,1.0,toyota
 Fabia,2017,8995,Manual,10161,Petrol,150,64.2,1.0,skoda
 Q5,2019,35998,Semi-Auto,28,Petrol,145,32.1,2.0,audi
 Octavia,2016,9900,Manual,23604,Petrol,30,55.4,1.4,skoda
 1 Series,2016,10599,Manual,27636,Diesel,0,83.1,1.5,bmw
 Fiesta,2016,8250,Manual,30952,Petrol,0,65.7,1.0,ford
 E Class,2019,35699,Semi-Auto,8911,Diesel,145,48.7,3.0,merc
 Ioniq,2018,14000,Automatic,37439,Hybrid,135,78.5,1.6,hyundi
 A Class,2017,18740,Semi-Auto,8461,Petrol,125,52.3,1.6,merc
 Fiesta,2018,9700,Manual,10326,Petrol,145,64.2,1.1,ford
 Grand Tourneo Connect,2019,16000,Manual,15244,Diesel,145,61.4,1.5,ford
 Q2,2019,20500,Manual,6652,Diesel,145,49.6,1.6,audi
 B Class,2016,14152,Manual,18245,Diesel,20,68.9,1.5,merc
 Yeti Outdoor,2017,12495,Manual,20718,Diesel,30,62.8,2.0,skoda
 1 Series,2015,9399,Manual,84179,Diesel,30,65.7,2.0,bmw
 Ioniq,2017,15989,Automatic,17666,Hybrid,135,78.5,1.6,hyundi
 A Class,2019,19592,Manual,11245,Petrol,145,28.5,1.3,merc
 Yaris,2018,12995,Automatic,17577,Hybrid,135,76.3,1.5,toyota
 GLC Class,2019,41429,Semi-Auto,1000,Diesel,145,40.4,2.0,merc
 Aygo,2018,8495,Manual,7479,Petrol,145,56.5,1.0,toyota
 Ka+,2019,9990,Manual,1581,Petrol,145,47.9,1.2,ford
 C Class,2016,15698,Automatic,42062,Petrol,125,50.4,2.0,merc
 Kona,2018,13995,Manual,8085,Petrol,145,44.1,1.0,hyundi
 A Class,2017,15999,Manual,40862,Diesel,20,68.9,1.5,merc
 Aygo,2017,7498,Manual,16912,Petrol,150,68.9,1.0,toyota
 3 Series,2015,15100,Semi-Auto,34500,Petrol,160,46.3,2.0,bmw
 3 Series,2017,18985,Semi-Auto,28173,Hybrid,0,134.5,2.0,bmw
 A5,2019,29000,Semi-Auto,6452,Petrol,145,40.4,2.0,audi
 Yaris,2018,12495,Manual,14322,Petrol,145,47.1,1.5,toyota
 C-HR,2019,14799,Manual,12298,Petrol,145,41.5,1.2,toyota
 X6,2019,66290,Automatic,1000,Petrol,145,26.4,3.0,bmw
 Fiesta,2017,8617,Manual,11560,Petrol,145,65.7,1.0,ford
 Q3,2019,28396,Automatic,5364,Petrol,145,38.2,1.5,audi
 C Class,2017,23990,Semi-Auto,29000,Petrol,145,43.5,2.0,merc
 Kodiaq,2019,34000,Automatic,2000,Petrol,145,31.4,2.0,skoda
 R8,2014,59990,Automatic,31930,Petrol,580,21.9,5.2,audi
 RS4,2018,49950,Automatic,23996,Petrol,145,32.1,2.9,audi
 C Class,2015,13295,Automatic,87980,Hybrid,0,134.5,2.0,merc
 5 Series,2020,34750,Automatic,101,Diesel,145,60.1,3.0,bmw
 Mondeo,2016,11588,Manual,20709,Diesel,0,78.5,1.5,ford
 B-MAX,2013,5195,Manual,60903,Petrol,30,55.4,1.0,ford
 A Class,2019,22799,Semi-Auto,2015,Petrol,145,53.3,1.3,merc
 Yaris,2018,9940,Manual,18848,Petrol,145,58.9,1.5,toyota
 4 Series,2016,18499,Automatic,60018,Diesel,160,49.6,3.0,bmw
 A3,2019,21700,Manual,7385,Diesel,145,51.4,1.6,audi
 Focus,2016,9689,Manual,31432,Petrol,20,60.1,1.0,ford
 Fiesta,2015,8990,Manual,26437,Petrol,20,62.8,1.0,ford
 Q3,2019,27990,Manual,6000,Petrol,145,40.9,1.5,audi
 A1,2020,21000,Manual,3500,Petrol,145,49.6,1.0,audi
 Fiesta,2018,10700,Manual,14126,Petrol,145,65.7,1.0,ford
 X1,2019,22500,Manual,7000,Petrol,150,51.4,1.5,bmw
 A Class,2018,21950,Semi-Auto,28000,Petrol,145,42.8,2.0,merc
 3 Series,2019,21400,Semi-Auto,16086,Petrol,145,48.7,2.0,bmw
 Kuga,2016,17698,Semi-Auto,11221,Diesel,145,54.3,2.0,ford
 Yeti Outdoor,2015,10281,Manual,61120,Diesel,150,55.4,2.0,skoda
 Q3,2016,18000,Semi-Auto,11966,Petrol,145,47.9,1.4,audi
 Yeti Outdoor,2017,13990,Manual,17876,Diesel,145,55.4,2.0,skoda
 Focus,2018,14500,Automatic,22587,Petrol,145,51.4,1.0,ford
 Focus,2019,16495,Manual,7745,Petrol,150,60.1,1.0,ford
 X5,2011,14990,Automatic,70000,Diesel,300,37.7,3.0,bmw
 CLS Class,2014,19998,Semi-Auto,25696,Diesel,165,52.3,3.0,merc
 Superb,2017,15790,Semi-Auto,29378,Diesel,125,61.4,2.0,skoda
 Octavia,2017,10991,Manual,36859,Petrol,150,57.7,1.5,skoda
 Fiesta,2019,14340,Manual,4122,Petrol,145,58.9,1.0,ford
 1 Series,2016,10450,Semi-Auto,52562,Diesel,0,78.5,1.5,bmw
 3 Series,2017,13400,Automatic,49373,Diesel,145,70.6,2.0,bmw
 C-HR,2019,23466,Automatic,6164,Hybrid,135,74.3,1.8,toyota
 C Class,2019,59950,Automatic,152,Petrol,145,27.2,4.0,merc
 A3,2019,24991,Semi-Auto,2621,Diesel,145,50.4,2.0,audi
 A1,2017,13982,Manual,27079,Petrol,30,55.4,1.4,audi
 A4,2016,15999,Automatic,56000,Diesel,30,67.3,2.0,audi
 RAV4,2017,18995,Automatic,39000,Hybrid,140,57.6,2.5,toyota
 Fiesta,2014,6698,Manual,35725,Petrol,30,54.3,1.2,ford
 Focus,2016,8999,Manual,18086,Petrol,20,60.1,1.0,ford
 Fiesta,2019,15410,Manual,1710,Petrol,145,60.1,1.0,ford
 Yaris,2017,8695,Manual,26325,Petrol,145,58.9,1.5,toyota
 5 Series,2016,14999,Automatic,42803,Diesel,30,62.8,2.0,bmw
 Superb,2017,8793,Manual,121000,Diesel,145,68.9,2.0,skoda
 3 Series,2019,33910,Automatic,123,Diesel,145,50.4,2.0,bmw
 S Class,2019,95099,Semi-Auto,1022,Petrol,145,34.0,4.0,merc
 Kodiaq,2019,23800,Automatic,10358,Diesel,145,42.2,2.0,skoda
 Focus,2019,17520,Manual,3214,Petrol,145,60.1,1.0,ford
 Focus,2018,19998,Manual,16882,Petrol,145,41.5,2.0,ford
 Edge,2016,18640,Manual,24105,Diesel,160,48.7,2.0,ford
 Tucson,2017,12498,Manual,18145,Diesel,30,61.7,1.7,hyundi
 Focus,2015,8998,Manual,32492,Diesel,0,74.3,1.5,ford
 Fabia,2016,9999,Manual,25792,Petrol,20,58.9,1.2,skoda
 Fiesta,2017,10291,Manual,22437,Petrol,0,65.7,1.0,ford
 A4,2012,9399,Manual,77500,Diesel,205,46.3,2.0,audi
 Kuga,2019,25500,Automatic,6894,Diesel,145,42.2,2.0,ford
 EcoSport,2017,11495,Semi-Auto,9258,Petrol,160,44.8,1.5,ford
 A3,2017,17255,Manual,26111,Petrol,30,60.1,1.4,audi
 C Class,2016,18950,Automatic,32720,Diesel,30,64.2,2.1,merc
 GLA Class,2017,21182,Automatic,10827,Diesel,125,56.5,2.1,merc
 3 Series,2019,31990,Automatic,9850,Diesel,145,52.3,2.0,bmw
 Focus,2019,15900,Manual,13000,Diesel,145,80.7,1.5,ford
 A4,2016,15000,Manual,44119,Diesel,30,64.2,2.0,audi
 Fiesta,2018,11679,Manual,16906,Petrol,145,65.7,1.0,ford
 A1,2016,13170,Manual,22225,Petrol,30,56.5,1.4,audi
 S-MAX,2016,17000,Automatic,56372,Diesel,125,52.3,2.0,ford
 3 Series,2017,20498,Semi-Auto,22271,Hybrid,0,134.5,2.0,bmw
 A1,2016,12490,Manual,25103,Petrol,0,67.3,1.0,audi
 C-HR,2018,23500,Automatic,16809,Hybrid,135,74.3,1.8,toyota
 Octavia,2016,8795,Manual,50824,Diesel,0,74.3,1.6,skoda
 Fabia,2018,10490,Manual,15623,Petrol,145,64.2,1.0,skoda
 Karoq,2018,18125,Manual,28241,Petrol,145,53.3,1.0,skoda
 Karoq,2019,21490,Semi-Auto,4530,Diesel,145,47.1,1.6,skoda
 Q5,2020,47990,Automatic,1000,Diesel,145,38.2,2.0,audi
 Kuga,2016,12699,Manual,26350,Diesel,145,54.3,2.0,ford
 Fiesta,2020,15999,Manual,2012,Petrol,145,60.1,1.0,ford
 5 Series,2014,14790,Semi-Auto,40715,Diesel,30,62.8,2.0,bmw
 3 Series,2018,21875,Semi-Auto,15769,Petrol,145,48.7,2.0,bmw
 Yaris,2016,7998,Manual,30159,Petrol,30,58.0,1.3,toyota
 Galaxy,2016,20500,Manual,145,Diesel,125,56.5,2.0,ford
 GLA Class,2015,18449,Semi-Auto,40346,Diesel,125,56.5,2.1,merc
 Q2,2019,27840,Semi-Auto,10652,Diesel,145,46.3,2.0,audi
 Focus,2017,12495,Manual,30130,Petrol,145,50.4,1.5,ford
 X2,2019,27275,Semi-Auto,5177,Diesel,145,48.7,2.0,bmw
 A4,2017,15540,Automatic,35452,Diesel,145,70.6,2.0,audi
 Focus,2019,20999,Manual,3805,Petrol,145,46.3,1.5,ford
 Fiesta,2014,5698,Manual,51892,Petrol,30,54.3,1.2,ford
 A3,2016,11950,Manual,41502,Diesel,0,74.3,1.6,audi
 A Class,2019,24998,Automatic,3000,Diesel,145,62.8,1.5,merc
 A1,2019,22000,Semi-Auto,4700,Petrol,150,40.9,2.0,audi
 Fabia,2017,9650,Manual,5135,Petrol,150,58.8,1.2,skoda
 5 Series,2019,28000,Semi-Auto,3102,Petrol,145,50.4,2.0,bmw
 Kuga,2017,13890,Manual,23969,Diesel,150,64.2,1.5,ford
 Q5,2020,58495,Semi-Auto,4000,Diesel,145,32.5,3.0,audi
 A6,2019,46000,Automatic,6606,Diesel,145,36.2,3.0,audi
 A3,2019,21990,Manual,3272,Diesel,145,55.4,2.0,audi
 Kuga,2019,19298,Manual,12369,Petrol,145,39.2,1.5,ford
 Yaris,2015,6443,Manual,40039,Petrol,30,58.0,1.3,toyota
 I10,2017,10490,Semi-Auto,14346,Petrol,150,47.9,1.2,hyundi
 Prius,2017,20990,Automatic,19133,Hybrid,135,85.6,1.8,toyota
 Ka+,2017,7850,Manual,11149,Petrol,145,57.7,1.2,ford
 Octavia,2019,14499,Manual,12750,Petrol,150,58.9,1.0,skoda
 2 Series,2019,19949,Manual,14219,Diesel,145,51.4,2.0,bmw
 Focus,2013,5499,Manual,56230,Petrol,20,58.9,1.0,ford
 CL Class,2019,27590,Automatic,1200,Petrol,145,45.6,1.3,merc
 A Class,2018,16869,Manual,24117,Diesel,145,62.8,2.1,merc
 Q2,2020,26888,Manual,4000,Petrol,145,43.5,1.5,audi
 A Class,2018,16800,Automatic,16056,Petrol,150,52.3,1.6,merc
 GT86,2019,27000,Semi-Auto,100,Petrol,145,32.8,2.0,toyota
 CL Class,2018,18049,Manual,11822,Petrol,145,51.4,1.6,merc
 A3,2019,20995,Manual,3325,Diesel,145,49.6,1.6,audi
 A5,2016,16987,Automatic,55639,Diesel,145,56.5,2.0,audi
 CLA Class,2014,24995,Automatic,41445,Petrol,205,39.8,2.0,merc
 CLS Class,2014,15998,Semi-Auto,31815,Diesel,145,54.3,2.1,merc
 Q2,2019,20444,Manual,4667,Diesel,145,49.6,1.6,audi
 CLS Class,2018,33000,Semi-Auto,18559,Diesel,145,48.7,2.9,merc
 1 Series,2019,19950,Manual,10,Petrol,145,53.3,1.5,bmw
 3 Series,2019,24450,Automatic,23150,Diesel,150,52.3,2.0,bmw
 Kuga,2018,17800,Automatic,33421,Diesel,145,54.3,2.0,ford
 Fiesta,2017,10500,Manual,27833,Petrol,150,62.8,1.0,ford
 Tourneo Custom,2018,19995,Automatic,24568,Diesel,145,31.7,2.0,ford
 Fiesta,2019,22000,Manual,2664,Petrol,145,40.4,1.5,ford
 Q3,2017,18998,Manual,21967,Diesel,145,56.5,2.0,audi
 5 Series,2017,27495,Automatic,43503,Diesel,145,53.3,3.0,bmw
 Ioniq,2018,14600,Automatic,56118,Hybrid,135,78.5,1.6,hyundi
 Yaris,2013,9995,Automatic,45558,Hybrid,0,76.3,1.5,toyota
 Yaris,2016,14995,Automatic,12457,Hybrid,0,78.0,1.5,toyota
 Fiesta,2016,9490,Manual,18005,Petrol,125,54.3,1.2,ford
 5 Series,2017,22995,Automatic,17117,Diesel,145,65.7,2.0,bmw
 CL Class,2019,26299,Semi-Auto,5716,Petrol,145,38.2,2.0,merc
 3 Series,2010,9990,Automatic,55000,Diesel,235,44.1,3.0,bmw
 3 Series,2014,12995,Manual,61000,Diesel,125,60.1,2.0,bmw
 Ioniq,2019,17442,Automatic,5032,Hybrid,135,78.5,1.6,hyundi
 C Class,2019,24000,Semi-Auto,7286,Petrol,145,44.1,1.5,merc
 GLA Class,2016,15541,Manual,42590,Diesel,30,64.2,2.1,merc
 Fiesta,2014,5999,Manual,42012,Petrol,0,65.7,1.0,ford
 RAV4,2014,10244,Manual,56822,Diesel,125,57.6,2.0,toyota
 Aygo,2017,7995,Manual,25000,Petrol,145,69.0,1.0,toyota
 A Class,2017,16995,Semi-Auto,25800,Diesel,150,68.9,2.1,merc
 Aygo,2019,9990,Manual,5000,Petrol,145,57.7,1.0,toyota
 Yaris,2014,8973,Automatic,52682,Hybrid,0,78.0,1.5,toyota
